permno,SICCD,NCUSIP,TICKER,COMNAM
10000,,,,
10001,,,,
10002,6710,60740110,MBNC,MOBILE NATIONAL CORP
10003,,,,
10004,,,,
10005,,,,
10006,3740,,,A C F INDUSTRIES INC
10007,,,,
10008,,,,
10009,6020,14979210,CAYB,CAYUGA SAVINGS BANK NY
10010,,,,
10011,,,,
10012,,,,
10013,,,,
10014,3710,,,A J INDUSTRIES INC
10015,,,,
10016,,,,
10017,,,,
10018,,,,
10019,,,,
10020,,,,
10021,,,,
10022,3420,,,A S R PRODS CORP
10023,8911,00035210,,A A I CORP
10024,,,,
10025,,,,
10026,2050,46603210,JJSF,J & J SNACK FOODS CORP
10027,7390,87928510,TNII,TELECOMMUNICATIONS NETWORK INC
10028,1380,13888810,MINT,CANYON STATE CORP
10029,8290,00136610,AIFS,A I F S INC
10030,3310,,,AMERICAN BRAKE SHOE CO
10031,7641,00035410,ANTQ,A A IMPORTING INC
10032,3670,72913210,PLXS,PLEXUS CORP
10033,6710,59591410,MABK,MIDAMERICA BANCSYSTEM INC
10034,6020,43687810,HCSB,HOME & CITY SVGS BK ALBANY NY
10035,5730,38209110,GGUY,GOOD GUYS INC
10036,3830,64090210,NURO,NEUROTECH CORP
10037,6120,35462310,FSLA,FRANKLIN S & L ASSN STHPLD MI
10038,4720,73702810,POCI,PORTS OF CALL INC
10039,3570,98390510,XIOX,XIOX CORP
10040,6210,41746610,HARVY,HARVARD SECURITIES GROUP PLC
10041,7370,35084910,GGGG,4G DATA SYSTEMS INC
10042,1040,13886910,CYNR,CANYON RESOURCES CORP
10043,8910,03267210,AATI,ANALYSIS & TECHNOLOGY INC
10044,2060,77467810,RMCF,ROCKY MOUNTAIN CHOCOLATE FAC INC
10045,5620,68100210,OLVR,OLIVERS STORES INC
10046,8200,20225530,CPUIA,COMMERCIAL PROGRAMMING UNLMTD
10047,2820,88312410,FOAM,TEXSTYRENE CORP
10048,4890,15650310,CCCO,CENTURY COMMUNICATIONS CORP
10050,3490,02475610,ABLD,AMERICAN BLDGS CO
10051,4830,81733510,SEQL,SEQUEL CORP
10052,5730,92656610,VLVL,VIDEO LIBRARY INC
